country,city_tier,age,gender,education,household_income_usd,household_size,monthly_energy_bill_usd,appliance_replacement_horizon,env_concern_score,energy_saving_priority,brand_trust,price_sensitivity_score,govt_incentive_awareness,willing_to_purchase_12m,max_willingness_to_pay_usd,adoption_advocate,preferred_financing,service_expectation_days,own_LED,own_SolarHeater,own_InverterAC,own_None,barrier_Price,barrier_Models,barrier_Trust,barrier_Install,barrier_None,pref_Inverter,pref_SmartIoT,pref_Compact,pref_Recyclable,pref_FastService,src_OnlineRev,src_InStore,src_Social,src_FriendsFam,src_GovtPortal
India,Metro,45,Male,Diploma,4162.0,4,42.53,1-2yr,1,Lower bills,2,3,1,0,605.0,2,Cash,9,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0
Singapore,Metro,42,Male,Postgrad,39826.0,5,224.56,>2yr,3,Environment,4,2,1,1,3693.0,2,BNPL,6,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
Singapore,Metro,35,Female,Bachelor,97246.0,3,493.59,1-2yr,4,Lower bills,2,4,0,0,8447.0,5,Cash,3,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
India,Metro,24,Male,Bachelor,15396.0,3,93.85,1-2yr,2,Lower bills,2,5,1,0,1773.0,3,StoreFinance,4,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1
India,Metro,40,Male,Bachelor,13675.0,6,101.08,6-12mo,2,Environment,2,4,1,0,1441.0,2,Cash,5,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1
India,Metro,41,Female,Secondary,38951.0,3,217.89,1-2yr,5,Govt rebate,4,2,0,2,3685.0,5,BNPL,3,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
UAE,Metro,19,Female,Bachelor,75814.0,4,394.64,6-12mo,3,Environment,3,2,1,2,6400.0,2,Cash,5,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1
India,Metro,43,Female,Secondary,4656.0,4,28.66,6-12mo,1,Lower bills,3,2,0,0,903.0,2,StoreFinance,8,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0
India,Metro,31,Female,Bachelor,13819.0,4,64.69,1-2yr,4,Environment,2,1,1,1,1642.0,5,Cash,9,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
India,Tier2,23,Female,Diploma,10984.0,2,65.09,6-12mo,3,Govt rebate,2,3,1,0,1382.0,4,CreditEMI,3,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1
India,Tier2,40,Female,Bachelor,24740.0,2,143.57,1-2yr,3,Lower bills,4,4,0,0,2524.0,4,StoreFinance,2,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0
Singapore,Metro,35,Female,Bachelor,20844.0,3,127.46,<6mo,3,Lower bills,4,1,1,1,2302.0,4,Cash,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0
India,Metro,37,Female,Bachelor,16779.0,3,92.19,<6mo,3,Lower bills,4,2,1,1,1791.0,2,Cash,4,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
Singapore,Metro,53,Male,Diploma,20193.0,4,148.97,>2yr,3,Lower bills,3,4,0,1,2167.0,2,CreditEMI,4,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
India,Tier2,23,Male,Diploma,13267.0,4,91.97,>2yr,3,Environment,5,5,1,2,1455.0,5,Cash,6,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
Singapore,Metro,40,Female,Bachelor,56206.0,4,292.68,1-2yr,3,Lower bills,2,5,1,0,4996.0,2,BNPL,2,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
India,Rural,34,Male,Bachelor,10977.0,4,80.28,>2yr,2,Lower bills,3,3,1,1,1358.0,1,Cash,5,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
India,Metro,37,Male,Bachelor,14301.0,2,84.23,6-12mo,1,Environment,5,3,0,0,1727.0,1,CreditEMI,7,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0
UAE,Metro,24,Female,Postgrad,64839.0,2,336.63,>2yr,2,Lower bills,3,2,0,0,5718.0,2,BNPL,3,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1
UAE,Metro,18,Male,Bachelor,39918.0,3,214.41,1-2yr,4,Brand image,4,2,1,0,3727.0,4,BNPL,5,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1
Singapore,Metro,18,Male,Postgrad,24549.0,4,175.41,1-2yr,3,New tech,3,4,0,0,2497.0,2,Cash,3,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1
Singapore,Metro,30,Male,Postgrad,23466.0,6,151.41,<6mo,3,Brand image,3,3,1,0,2373.0,3,StoreFinance,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0
Singapore,Metro,20,Male,Bachelor,36027.0,2,185.83,1-2yr,4,Lower bills,3,3,0,0,3341.0,4,CreditEMI,2,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0
UAE,Metro,18,Female,Bachelor,55734.0,6,305.3,6-12mo,5,Lower bills,3,4,1,1,5201.0,5,StoreFinance,2,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0
India,Metro,30,Female,Diploma,11601.0,4,81.53,1-2yr,4,Environment,4,4,0,2,1387.0,3,CreditEMI,4,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0
India,Rural,25,Male,Bachelor,8762.0,5,67.27,1-2yr,4,Lower bills,2,2,0,1,1248.0,3,Cash,5,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0
India,Tier2,31,Female,Bachelor,12694.0,4,74.17,>2yr,4,Environment,3,1,1,0,1658.0,5,Cash,5,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0
India,Tier2,25,Male,Postgrad,17521.0,3,106.66,6-12mo,4,Environment,2,3,1,1,2014.0,4,StoreFinance,6,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1
UAE,Metro,28,Female,Bachelor,26909.0,1,124.93,6-12mo,4,Environment,2,2,1,0,2675.0,3,CreditEMI,6,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1
India,Metro,26,Male,Bachelor,15949.0,3,97.81,>2yr,1,Lower bills,4,2,1,0,1807.0,1,CreditEMI,3,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0
India,Metro,29,Female,Secondary,26150.0,2,139.81,>2yr,4,Environment,3,2,0,0,2514.0,5,Cash,4,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0
India,Tier2,18,Male,Secondary,27718.0,4,158.32,6-12mo,4,Govt rebate,2,2,0,1,2866.0,3,CreditEMI,5,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1
UAE,Metro,31,Female,Postgrad,45524.0,4,254.81,>2yr,3,Environment,4,1,0,0,4329.0,2,StoreFinance,3,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
UAE,Tier2,24,Male,Postgrad,48061.0,4,259.34,6-12mo,4,Lower bills,4,4,1,0,4352.0,3,CreditEMI,9,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0
India,Metro,20,Male,Secondary,6044.0,5,58.54,1-2yr,2,Environment,3,4,1,1,1031.0,3,StoreFinance,7,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
India,Metro,26,Female,Bachelor,18120.0,1,85.7,1-2yr,4,Lower bills,4,4,1,1,2090.0,3,CreditEMI,7,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
India,Tier2,41,Male,Diploma,23669.0,3,135.82,6-12mo,1,Environment,4,1,1,0,2551.0,1,StoreFinance,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0
UAE,Metro,31,Female,Secondary,28401.0,7,173.11,1-2yr,3,Lower bills,4,3,0,1,2686.0,4,BNPL,7,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0
Singapore,Metro,35,Male,Postgrad,66111.0,1,319.12,1-2yr,5,Environment,4,2,1,2,5825.0,5,CreditEMI,4,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1
India,Metro,37,Male,Secondary,28016.0,2,155.18,>2yr,5,Lower bills,3,3,1,2,2891.0,5,Cash,4,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0
Singapore,Metro,46,Male,Diploma,16752.0,3,100.25,>2yr,4,New tech,3,2,1,0,2031.0,3,Cash,9,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1
Singapore,Metro,38,Female,Postgrad,87746.0,3,461.18,1-2yr,3,Environment,1,3,1,1,21053.306431818473,4,CreditEMI,5,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
India,Metro,52,Female,Postgrad,16541.0,7,104.87,1-2yr,3,Govt rebate,3,3,0,1,1860.0,4,CreditEMI,6,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0
UAE,Metro,34,Male,Postgrad,45195.0,4,224.79,1-2yr,3,Lower bills,3,2,1,1,4296.0,2,StoreFinance,8,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0
UAE,Metro,56,Female,Diploma,31343.0,4,181.44,1-2yr,5,Lower bills,2,3,1,0,3425.0,5,CreditEMI,6,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0
India,Tier2,40,Male,Bachelor,22299.0,3,131.1,6-12mo,4,Lower bills,3,2,1,1,2394.0,3,BNPL,6,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
UAE,Metro,41,Female,Diploma,34602.0,2,169.17,>2yr,3,New tech,4,2,1,2,3260.0,4,CreditEMI,2,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0
Singapore,Metro,44,Female,Secondary,38271.0,4,215.93,6-12mo,3,Govt rebate,2,3,0,1,3673.0,1,CreditEMI,2,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0
India,Metro,35,Male,Secondary,18725.0,3,86.46,>2yr,5,Environment,3,3,0,0,1972.0,5,StoreFinance,7,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Singapore,Metro,41,Male,Postgrad,16752.0,3,88.54,<6mo,4,Lower bills,2,2,1,1,1952.0,4,Cash,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0
India,Metro,42,Male,Diploma,12386.0,4,88.76,1-2yr,4,Lower bills,3,3,0,0,1666.0,4,Cash,5,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1
UAE,Metro,36,Male,Postgrad,15370.0,4,89.17,1-2yr,3,Brand image,1,4,1,0,1730.0,5,Cash,6,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
India,Metro,45,Other,Secondary,4297.0,5,64.03,>2yr,4,Environment,2,3,0,0,1046.0,3,Cash,8,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1
India,Tier2,35,Male,Diploma,26173.0,5,158.18,<6mo,1,Lower bills,4,5,0,0,2679.0,2,CreditEMI,7,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0
India,Metro,31,Male,Secondary,6830.0,4,49.59,<6mo,2,Brand image,3,2,1,0,1088.0,1,StoreFinance,4,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1
UAE,Metro,28,Male,Bachelor,64445.0,5,356.89,<6mo,3,Govt rebate,3,3,0,0,5663.0,3,StoreFinance,3,1,1,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0
India,Tier2,42,Female,Secondary,15892.0,4,115.73,>2yr,4,Brand image,4,4,1,1,1844.0,2,StoreFinance,4,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,1,0,1,1
India,Metro,40,Male,Diploma,6324.0,5,69.51,6-12mo,3,Lower bills,2,3,1,0,1071.0,3,StoreFinance,2,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0
Singapore,Metro,23,Male,Postgrad,22101.0,5,117.33,<6mo,3,New tech,1,4,0,0,2310.0,2,Cash,4,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1
India,Tier2,26,Other,Diploma,27361.0,5,158.09,6-12mo,4,Lower bills,4,3,0,2,2887.0,3,Cash,6,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
UAE,Metro,25,Female,Postgrad,55228.0,3,283.1,1-2yr,5,Govt rebate,2,4,0,0,5137.0,5,CreditEMI,7,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0
India,Tier2,46,Male,Bachelor,18491.0,1,114.7,1-2yr,4,Lower bills,3,1,1,1,1995.0,4,Cash,4,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
India,Metro,47,Male,Secondary,20680.0,3,122.55,>2yr,2,Lower bills,3,3,1,2,2139.0,3,CreditEMI,5,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
India,Metro,36,Male,Secondary,21924.0,3,109.97,<6mo,4,Lower bills,2,3,1,0,2237.0,5,Cash,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
India,Tier2,27,Female,Secondary,22228.0,6,140.03,6-12mo,4,Brand image,2,2,1,1,2369.0,2,CreditEMI,6,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0
India,Metro,37,Male,Bachelor,15649.0,8,112.83,1-2yr,5,Environment,2,2,1,1,1884.0,5,CreditEMI,6,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1
Singapore,Metro,49,Male,Bachelor,30050.0,1,140.28,>2yr,2,Lower bills,5,3,1,0,2840.0,3,BNPL,4,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0
UAE,Metro,33,Male,Bachelor,20791.0,2,107.98,>2yr,3,Lower bills,3,3,0,0,2111.0,4,Cash,4,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
India,Rural,39,Female,Bachelor,30143.0,3,174.46,<6mo,2,Environment,4,4,1,2,3006.0,2,StoreFinance,3,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0
India,Metro,26,Female,Diploma,16928.0,3,116.7,1-2yr,5,Govt rebate,3,3,1,1,2056.0,5,BNPL,3,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0
UAE,Metro,22,Female,Bachelor,50277.0,3,277.88,1-2yr,3,Environment,3,1,1,1,4614.0,5,CreditEMI,5,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0
UAE,Metro,36,Male,Postgrad,39579.0,4,216.37,1-2yr,4,Lower bills,4,4,1,0,3637.0,3,Cash,7,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1
UAE,Metro,34,Female,Bachelor,43329.0,3,233.31,6-12mo,3,Environment,4,3,1,2,4052.0,1,CreditEMI,8,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1
India,Metro,36,Female,Diploma,19042.0,2,99.37,>2yr,2,Environment,3,2,1,0,2024.0,3,StoreFinance,4,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
India,Metro,18,Male,Bachelor,9702.0,1,51.54,1-2yr,2,Environment,4,3,1,0,1289.0,2,CreditEMI,2,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0
India,Metro,44,Female,Secondary,18202.0,5,126.44,<6mo,3,Brand image,3,4,0,0,1978.0,3,Cash,5,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
UAE,Metro,42,Female,Bachelor,19435.0,5,100.57,<6mo,4,New tech,4,2,1,1,2218.0,3,BNPL,5,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1
India,Rural,50,Female,Bachelor,4717.0,5,43.34,>2yr,4,Brand image,3,3,1,2,1039.0,4,Cash,7,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0
India,Rural,36,Female,Secondary,6216.0,5,72.34,>2yr,3,Govt rebate,2,3,0,0,1145.0,3,StoreFinance,5,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0
UAE,Metro,44,Female,Postgrad,55905.0,2,289.28,6-12mo,2,Environment,3,3,1,0,13293.52331708866,4,Cash,6,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0
India,Tier2,18,Male,Bachelor,15119.0,3,73.59,>2yr,3,Brand image,3,1,1,1,1756.0,2,BNPL,4,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,1,0,1
India,Tier2,32,Male,Secondary,10894.0,6,88.56,<6mo,3,Lower bills,4,3,1,1,5556.002934063145,3,BNPL,3,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0
UAE,Metro,33,Male,Bachelor,20903.0,4,120.69,>2yr,3,New tech,3,3,0,0,2071.0,4,CreditEMI,3,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
India,Metro,18,Male,Secondary,24685.0,1,111.28,<6mo,2,Lower bills,2,4,1,1,2271.0,2,CreditEMI,8,0,0,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0
India,Metro,34,Male,Bachelor,3504.0,2,19.41,1-2yr,3,Lower bills,2,3,0,0,662.0,4,CreditEMI,4,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
India,Tier2,34,Male,Bachelor,14086.0,7,106.18,>2yr,4,Lower bills,4,3,1,2,1800.0,4,Cash,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
India,Tier2,35,Female,Bachelor,22568.0,4,133.07,>2yr,2,Environment,5,4,1,2,2278.0,3,StoreFinance,2,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1
UAE,Metro,47,Male,Postgrad,70324.0,2,357.5,1-2yr,3,Environment,2,2,1,1,6147.0,3,Cash,4,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
Singapore,Metro,27,Male,Diploma,40537.0,3,218.91,1-2yr,5,Environment,3,4,0,2,3816.0,4,CreditEMI,3,1,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0
India,Tier2,24,Female,Diploma,15314.0,3,98.24,1-2yr,5,Brand image,2,3,1,1,1748.0,5,CreditEMI,6,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
India,Metro,28,Male,Bachelor,10585.0,4,80.07,1-2yr,4,Lower bills,3,3,1,1,1591.0,5,BNPL,5,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0
India,Rural,30,Male,Bachelor,12162.0,5,83.79,1-2yr,4,Lower bills,3,2,1,2,1658.0,3,CreditEMI,7,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1
India,Rural,33,Male,Diploma,12037.0,2,71.48,6-12mo,5,New tech,3,3,0,2,1817.0,5,Cash,2,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0
UAE,Metro,38,Male,Bachelor,29885.0,7,193.23,6-12mo,4,New tech,3,3,1,0,2974.0,5,BNPL,5,1,1,0,0,1,1,0,1,0,1,1,0,0,1,0,0,1,1,0
India,Metro,28,Female,Secondary,6702.0,6,64.68,<6mo,3,Environment,3,1,1,2,1163.0,1,CreditEMI,6,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1
